topic,from_perc,to_prec,change_perc,year
volitust kaasuses jarvik,0.101,0.032,-67.817,2010 vs 2011
raamatukogu pimedate raamatukogude,0.101,0.032,-67.817,2010 vs 2011
hoiu pangad pankade,0.101,0.032,-67.817,2010 vs 2011
louis freeh kremli,0.076,0.016,-78.545,2010 vs 2011
valdkonnad laekumisest fikseeritakse,0.076,0.016,-78.545,2010 vs 2011
kulukuse krediidi kiirlaenude,0.151,0.065,-57.09,2010 vs 2011
jaatmeid liigiti prugi,0.491,0.324,-33.984,2010 vs 2011
huvigruppe huvigruppide kaasatud,0.819,0.6,-26.722,2010 vs 2011
lasteaia lasteaias lasteaiakoha,1.172,0.908,-22.485,2010 vs 2011
poolte kokkuleppel huvitise,0.416,0.26,-37.585,2010 vs 2011
seksuaalse vangistusega vaarkohtlemise,0.088,0.016,-81.61,2010 vs 2011
kandidaati kandidaat valituks,0.302,0.162,-46.362,2010 vs 2011
aituma infotundi jahimehed,0.302,0.162,-46.362,2010 vs 2011
lipu laevu kaubalaeva,0.176,0.065,-63.22,2010 vs 2011
id mobiil kaardi,0.202,0.081,-59.772,2010 vs 2011
energiaagentuur agentuuri agentuur,0.769,0.519,-32.469,2010 vs 2011
vaesuses suhtelises vaesuse,0.87,0.6,-30.97,2010 vs 2011
normitehnika mojude eeskiri,0.353,0.178,-49.427,2010 vs 2011
keeleoskust oskuse keeleoskuse,0.139,0.032,-76.594,2010 vs 2011
loomi loomade loomad,0.214,0.081,-62.138,2010 vs 2011
uuring uuringut uuringu,0.428,0.227,-46.993,2010 vs 2011
pollumeestele pollumehi pollumehed,0.744,0.454,-38.907,2010 vs 2011
ajakirjandus ajakirjanduse ajakirjandust,0.643,0.373,-41.945,2010 vs 2011
viirust vaktsineeritud viiruse,0.239,0.081,-66.123,2010 vs 2011
pealinnast tallinnast viljandisse,0.239,0.081,-66.123,2010 vs 2011
eripensioni valjateenitud staazi,0.214,0.065,-69.71,2010 vs 2011
lae korgepalgaliste lagi,0.189,0.049,-74.254,2010 vs 2011
muuseum muuseumi muuseumide,0.29,0.114,-60.821,2010 vs 2011
terviseandmed isikuandmeid terviseandmeid,0.618,0.341,-44.83,2010 vs 2011
maavalitsuste maavalitsused maakonna,0.996,0.633,-36.449,2010 vs 2011
alkoholi kange lahja,0.958,0.6,-37.328,2010 vs 2011
reklaami reklaam alkoholireklaam,0.265,0.081,-69.35,2010 vs 2011
vanemahuvitist vanemahuvitise vanemahuvitis,0.517,0.243,-52.903,2010 vs 2011
erso teatri kontserdi,0.252,0.065,-74.254,2010 vs 2011
eelarves riigieelarves reservist,1.374,0.908,-33.863,2010 vs 2011
karistuse karistus tingimisi,0.807,0.454,-43.68,2010 vs 2011
ametiuhingute tooandjate keskliit,0.454,0.195,-57.09,2010 vs 2011
hanke hankija riigihangete,0.958,0.568,-40.716,2010 vs 2011
relva relvade relvaluba,0.214,0.016,-92.428,2010 vs 2011
salastatud valisteabe riigisaladuse,0.239,0.049,-79.674,2010 vs 2011
muundatud geneetiliselt gmo,0.265,0.049,-81.61,2010 vs 2011
kala kalurid kalurite,0.807,0.422,-47.703,2010 vs 2011
abipolitseinik abipolitseiniku abipolitseinike,0.29,0.065,-77.612,2010 vs 2011
tantsupeo laulu traditsiooni,0.29,0.016,-94.403,2010 vs 2011
kolledz kolledzi turi,0.302,0.016,-94.636,2010 vs 2011
virumaale virumaa toostusalade,0.92,0.47,-48.86,2010 vs 2011
tervist tervis tervisega,0.315,0.049,-84.552,2010 vs 2011
lapsetoetust lapsetoetus lapsetoetuse,1.588,0.973,-38.7,2010 vs 2011
toonadalal istungid taiendaval,1.222,0.681,-44.261,2010 vs 2011
omandireformi tagastatud omandireform,0.63,0.243,-61.381,2010 vs 2011
ooteala piiriuletuse piiripunkti,0.365,0.065,-82.244,2010 vs 2011
valimisliitude volikogusse volikokku,1.021,0.503,-50.733,2010 vs 2011
treenerite spordi sport,0.403,0.032,-91.954,2010 vs 2011
soita jalakaija konniteel,0.731,0.276,-62.269,2010 vs 2011
matusetoetust matusetoetus matusetoetuse,0.567,0.016,-97.139,2010 vs 2011
etv saateid pbk,0.756,0.243,-67.817,2010 vs 2011
apteeke apteegid apteekide,0.542,0.097,-82.038,2010 vs 2011
voidusamba vabadussoja uurimiskomisjon,0.529,0.081,-84.675,2010 vs 2011
planeeringu keskkonnamoju keskkonnamojude,0.706,0.178,-74.714,2010 vs 2011
vaikesaarte saarte pusiasustusega,1.021,0.243,-76.161,2010 vs 2011
valismaale valjarande valjaranne,1.26,0.341,-72.967,2010 vs 2011
muugimaksu muugimaks paadimaksu,1.134,0.178,-84.266,2010 vs 2011
vee monopolide veeteenuse,1.374,0.26,-81.104,2010 vs 2011
pensioniiga pensioniea eluiga,2.52,0.146,-94.207,2010 vs 2011
tootuid tootute tootu,4.537,0.99,-78.187,2010 vs 2011
missiooni missioonile missioon,0.6,2.633,338.641,2011 vs 2012
lapsetoetust lapsetoetus lapsetoetuse,0.973,2.858,193.603,2011 vs 2012
terviseandmed isikuandmeid terviseandmeid,0.341,1.535,350.502,2011 vs 2012
apteeke apteegid apteekide,0.097,0.82,742.75,2011 vs 2012
karistuse karistus tingimisi,0.454,1.323,191.273,2011 vs 2012
aasia aasias saatkonna,0.389,1.151,195.642,2011 vs 2012
ametiuhingute tooandjate keskliit,0.195,0.847,334.968,2011 vs 2012
lng terminali gaasi,0.162,0.767,373.027,2011 vs 2012
loomi loomade loomad,0.081,0.609,650.319,2011 vs 2012
efsf esm kreekale,3.423,4.882,42.627,2011 vs 2012
teenistuse teenistuses avalikus,0.341,0.953,179.622,2011 vs 2012
memorandumi moistmise memorandum,0.097,0.582,498.08,2011 vs 2012
kaitseliit kaitseliidule kaitseliidu,0.308,0.9,191.886,2011 vs 2012
alkoholi kange lahja,0.6,1.31,118.219,2011 vs 2012
poolte kokkuleppel huvitise,0.26,0.767,195.642,2011 vs 2012
leping ratifitseerida lepinguga,0.438,1.032,135.607,2011 vs 2012
kaasne lisakulutusi riigieelarvele,0.292,0.741,153.731,2011 vs 2012
aardla pria pealtnagija,0.097,0.437,348.56,2011 vs 2012
keeleoskust oskuse keeleoskuse,0.032,0.37,1041.79,2011 vs 2012
riigimetsa majandamise noukokku,0.243,0.648,166.418,2011 vs 2012
vanemahuvitist vanemahuvitise vanemahuvitis,0.243,0.635,160.981,2011 vs 2012
eelarves riigieelarves reservist,0.908,1.535,68.938,2011 vs 2012
deklaratsiooni deklaratsioone deklaratsioonis,0.065,0.357,450.506,2011 vs 2012
huvigruppe huvigruppide kaasatud,0.6,1.125,87.359,2011 vs 2012
toonadalal istungid taiendaval,0.681,1.204,76.706,2011 vs 2012
abipolitseinik abipolitseiniku abipolitseinike,0.065,0.331,409.728,2011 vs 2012
lipu laevu kaubalaeva,0.065,0.318,389.338,2011 vs 2012
matusetoetust matusetoetus matusetoetuse,0.016,0.225,1286.459,2011 vs 2012
elamisluba elamisloa viisa,0.389,0.728,86.9,2011 vs 2012
aituma infotundi jahimehed,0.162,0.384,136.514,2011 vs 2012
eripensioni valjateenitud staazi,0.065,0.225,246.615,2011 vs 2012
hiv narkomaania epideemia,0.016,0.159,878.677,2011 vs 2012
treenerite spordi sport,0.032,0.159,389.338,2011 vs 2012
riigiloivude riigiloivud riigiloivu,0.487,0.767,57.676,2011 vs 2012
kandidaati kandidaat valituks,0.162,0.344,112.047,2011 vs 2012
relva relvade relvaluba,0.016,0.119,634.008,2011 vs 2012
prokuratuur prokuratuuri prokuror,0.925,1.257,35.927,2011 vs 2012
uuring uuringut uuringu,0.227,0.41,80.589,2011 vs 2012
valimisea valimisiga valimisoiguse,0.114,0.251,121.367,2011 vs 2012
seksuaalse vangistusega vaarkohtlemise,0.016,0.106,552.451,2011 vs 2012
liiklussurmade liikluses hukkunute,0.389,0.609,56.316,2011 vs 2012
sularaha kommertspangad pangad,0.097,0.225,131.077,2011 vs 2012
objekti anu raua,0.13,0.251,93.696,2011 vs 2012
hooldekodus hoolduse hooldekodu,0.211,0.357,69.386,2011 vs 2012
estonian air airi,0.162,0.291,79.424,2011 vs 2012
rahvahaaletuse rahvahaaletus rahvahaaletusel,0.049,0.132,171.855,2011 vs 2012
arengufond arengufondi arengufondis,0.714,0.953,33.456,2011 vs 2012
eelarvele kulude riigieelarvele,0.454,0.635,39.811,2011 vs 2012
nord stream streami,0.162,0.278,71.268,2011 vs 2012
pensioniiga pensioniea eluiga,0.146,0.251,72.175,2011 vs 2012
haale valimispaeval valimiste,0.422,0.582,38.019,2011 vs 2012
suuria euroopasse turgis,0.016,0.066,307.782,2011 vs 2012
valdkonnad laekumisest fikseeritakse,0.016,0.066,307.782,2011 vs 2012
opositsiooni koalitsioonil opositsioonil,0.13,0.225,73.307,2011 vs 2012
elatisraha elatisabi elatise,0.081,0.159,95.735,2011 vs 2012
tooandja tooandjal tootaja,0.195,0.304,56.316,2011 vs 2012
annetused annetusi annetuste,0.114,0.198,74.764,2011 vs 2012
vagivallale vihakone ohutamine,0.357,0.49,37.163,2011 vs 2012
moisteid moiste moisted,0.6,0.767,27.845,2011 vs 2012
salastatud valisteabe riigisaladuse,0.049,0.106,117.484,2011 vs 2012
borsile ipo enefit,0.341,0.463,35.927,2011 vs 2012
hoiu pangad pankade,0.032,0.079,144.669,2011 vs 2012
volitust kaasuses jarvik,0.032,0.079,144.669,2011 vs 2012
raamatukogu pimedate raamatukogude,0.032,0.079,144.669,2011 vs 2012
kolledz kolledzi turi,0.016,0.053,226.226,2011 vs 2012
louis freeh kremli,0.016,0.053,226.226,2011 vs 2012
varude varud varu,0.016,0.053,226.226,2011 vs 2012
korruptsiooni korruptsioon korruptsiooniga,0.146,0.225,54.051,2011 vs 2012
pollumeestele pollumehi pollumehed,0.454,0.569,25.247,2011 vs 2012
palgatousu opetajate palgatous,1.509,1.707,13.127,2011 vs 2012
lahususe voimude lahusus,0.178,0.251,40.87,2011 vs 2012
normitehnika mojude eeskiri,0.178,0.251,40.87,2011 vs 2012
viirust vaktsineeritud viiruse,0.081,0.132,63.113,2011 vs 2012
riigiabi komisjonilt loa,0.195,0.265,35.927,2011 vs 2012
kohtunike kohtususteem kohtuniku,0.941,1.085,15.304,2011 vs 2012
korteriuhistu korteriomanike korteriuhistute,0.065,0.106,63.113,2011 vs 2012
ulikooliga kbfi instituudi,0.065,0.106,63.113,2011 vs 2012
kinnitamise paevakorra paevakord,0.065,0.106,63.113,2011 vs 2012
kohanimenoukogu vonnu mulgi,0.016,0.04,144.669,2011 vs 2012
sigade katku katk,0.016,0.04,144.669,2011 vs 2012
tootuid tootute tootu,0.99,1.125,13.644,2011 vs 2012
tootuli lepitaja ametiuhingute,0.0,0.159,97767.696,2011 vs 2012
jaatmeid liigiti prugi,0.324,0.397,22.335,2011 vs 2012
tootuna arvele ariuhingu,0.049,0.079,63.113,2011 vs 2012
ajakirjandus ajakirjanduse ajakirjandust,0.373,0.45,20.562,2011 vs 2012
pealinnast tallinnast viljandisse,0.081,0.119,46.802,2011 vs 2012
rahapesu terrorismi andmeburoo,0.0,0.119,73300.772,2011 vs 2012
tarbijakaitse amet ametile,0.162,0.212,30.49,2011 vs 2012
kohtutaiturite kohtutaitur kohtutaituri,0.0,0.079,48833.848,2011 vs 2012
taanis saksamaal hollandis,0.552,0.635,15.138,2011 vs 2012
vee monopolide veeteenuse,0.26,0.318,22.335,2011 vs 2012
tooandja tervisesse maksuvabalt,0.357,0.423,18.628,2011 vs 2012
hanke hankija riigihangete,0.568,0.648,14.179,2011 vs 2012
teekasutustasu autode autod,0.065,0.093,42.724,2011 vs 2012
ooteala piiriuletuse piiripunkti,0.065,0.093,42.724,2011 vs 2012
miili baasvorgu lairiba,0.065,0.093,42.724,2011 vs 2012
abielu kooselu samasooliste,0.146,0.185,26.866,2011 vs 2012
rail trassi balticu,0.341,0.397,16.509,2011 vs 2012
iive sundimus iibe,0.292,0.344,17.804,2011 vs 2012
est kavatsuste for,0.0,0.026,16211.283,2011 vs 2012
joustumine joustuma joustada,0.957,1.045,9.203,2011 vs 2012
toovoimereformi toovoimega toovoimereform,0.114,0.146,28.16,2011 vs 2012
muuseum muuseumi muuseumide,0.114,0.146,28.16,2011 vs 2012
voidusamba vabadussoja uurimiskomisjon,0.081,0.106,30.49,2011 vs 2012
vaesuses suhtelises vaesuse,0.6,0.662,10.211,2011 vs 2012
krimmi agressiooni ukraina,0.47,0.516,9.679,2011 vs 2012
koolituse koolitus koolitusele,0.065,0.079,22.335,2011 vs 2012
salvestisi salvestised salvestiste,0.276,0.304,10.341,2011 vs 2012
jarviku jarvik maaeluministri,0.227,0.251,10.684,2011 vs 2012
ootuse oigusparase oiguskindluse,0.227,0.251,10.684,2011 vs 2012
skais arendused infosusteemide,0.13,0.146,12.14,2011 vs 2012
pohiseadusega riigikohus oiguskantsler,0.941,0.979,4.055,2011 vs 2012
piirikontrolli schengeni valispiiri,0.032,0.04,22.335,2011 vs 2012
otsevalimise presidenti presidendi,0.26,0.278,7.043,2011 vs 2012
soita jalakaija konniteel,0.276,0.291,5.544,2011 vs 2012
tervist tervis tervisega,0.049,0.053,8.742,2011 vs 2012
operatsioonil sojalisel panustamisel,0.049,0.053,8.742,2011 vs 2012
etv saateid pbk,0.243,0.251,3.305,2011 vs 2012
kandideerima ametikohale kandidaatide,0.114,0.119,4.858,2011 vs 2012
kusija vastaja vastasin,0.114,0.119,4.858,2011 vs 2012
slovakkia ungari portugal,0.876,0.886,1.19,2011 vs 2012
korrata stenogrammist vabandan,0.065,0.066,1.946,2011 vs 2012
magustatud suhkrut joogi,0.065,0.066,1.946,2011 vs 2012
psuhhiaatri alaealine psuhhiaatrilist,0.357,0.357,0.092,2011 vs 2012
arengukavad arengukavade pohialuste,0.86,0.86,0.022,2011 vs 2012
kontroll kohaloleku registreeris,0.0,0.0,-18.444,2011 vs 2012
